Clothing ID,Rating,Recommended IND,Department Name,Class Name,is_truncated,rating_rec_conflict,product_review_count,coverage_tier,Title,Review Text,keyword_label,all_matched_labels
1080,2,0,Dresses,Dresses,False,False,289,sufficient,Not for the very petite,"I love tracy reese dresses, but this one is not for the very petite. i am just under 5 feet tall and usually wear a 0p in this brand. this dress was very pretty out of the package but its a lot of dress. the skirt is long and very full so it overwhelmed my small frame. not a stranger to alterations, shortening and narrowing the skirt would take away from the embellishment of the garment. i love the color and the idea of the style but it just did not work on me. i returned this dress.",UNDETERMINED,
1077,2,0,Dresses,Dresses,False,False,297,sufficient,Not what it looks like,"First of all, this is not pullover styling. there is a side zipper. i wouldn't have purchased it if i knew there was a side zipper because i have a large bust and side zippers are next to impossible for me.

second of all, the tulle feels and looks cheap and the slip has an awkward tight shape underneath.

not at all what is looks like or is described as. sadly will be returning, but i'm sure i will find something to exchange it for!",UNDETERMINED,
949,2,0,Tops,Sweaters,True,False,79,sufficient,Huge disappointment,I have been waiting for this sweater coat to ship for weeks and i was so excited for it to arrive. this coat is not true to size and made me look short and squat. the sleeves are very wide (although long). as a light weight fall coat the sleeves don't need to be as wide because you wouldn't be layerng too much underneath. the buttons need to be moved at least three inches in for a nicer fit. i thought about redoing the buttons myself but the sleeves looked even more out of proportion with a tigh,SIZING_ACCURACY,SIZING_ACCURACY
949,2,0,Tops,Sweaters,False,False,79,sufficient,Mehh,"I ordered this 3 months ago, and it finally came off back order. a huge disappointment. the fit wasn't so much the issue for me. the quality of the wool is subpar. someone else mentioned a ""felted wool""...i guess, is that what you call it? it does literally feel like felt! super thin, itchy, doesn't drape very well, and feels cheap (made in china). i got it on sale, but still not worth what i paid. definitely going back.",MATERIAL_QUALITY,MATERIAL_QUALITY
368,2,0,Intimate,Intimates,False,False,3,thin,,"I am pregnant and i thought this would be a great sleep bra. it's soft and fits okay, but it has zero support or shape. i would only buy if you are a b cup or smaller and can get away without support. if i would have seen this is the store, i would have passed over it. however, i was too lazy to return so i am wearing it. it's comfortable so that's a redeeming quality. i would not recommend for larger chested ladies, though!",UNDETERMINED,
368,1,0,Intimate,Intimates,False,False,3,thin,Itchy tags,"3 tags sewn in, 2 small (about 1'' long) and 1 huge (about 2'' x 3''). very itchy so i cut them out. then the thread left behind was plasticy and even more itchy! how can you make an intimates item with such itchy tags? not comfortable at all! also - i love bralettes and wear them all the time including to work. i am a b cup. however, this one is so thin and flimsy that it gives no support even to a b cup - so for me this would only be a lounging bralette - if it wasn't so itchy!",MATERIAL_QUALITY,MATERIAL_QUALITY
862,2,0,Tops,Knits,False,False,806,sufficient,I wanted to love this top...,"I really loved this top online and wanted to love it in person. it is soft and the patter is okay in person. the neckline is higher than i am used to. also, there are two buttons in the back that must be unbuttoned in order to wear the top. it is difficult to button them behind your neck with the top on. unfortunately i had to return this item...",MATERIAL_QUALITY,MATERIAL_QUALITY
822,2,0,Tops,Blouses,True,False,36,sufficient,Short and boxy,"Why do designers keep making crop tops??!! i can't imagine this would be flattering on anyone, especially someone average height and well endowed on top. i looked like a football player. the pattern and fabric are gorgeous, so if you are like 4' tall and super tiny and can fit xxs this may work? i am between a 6-8 and fit a small and it was huge on me and almost was bigger at the bottom than the top. such a weird cut. there is a cami underneath so if it rides up that will show but that is so 80s",STYLE_EXPECTATION,STYLE_EXPECTATION
850,2,0,Tops,Blouses,False,False,338,sufficient,Zipper broke,"The zipper broke on this piece the first time i wore it. very disappointing since i love the design. i'm actually going to try to replace the zipper myself with something stronger, but annoying that it's come to that.",MATERIAL_QUALITY,MATERIAL_QUALITY
866,1,0,Tops,Knits,False,False,121,sufficient,,"I was really hoping to like this, but it did not look the way it does on the model, at least not on me. the sharkbite hem is much more pronounced and looser. the one in the photo looks like it was pinned back. i am 5'8"" and usually wear a medium or large. i got a medium and there was a lot more material on the bottom half than the photo shows. it made me look bigger and was not flattering. material has a nice weave but it's thin and delicate. i bought the (holly) deep olive and the blue. colors",STYLE_EXPECTATION,STYLE_EXPECTATION
