review_num,orig_idx,Clothing ID,Age,Title,Review Text,Rating,Recommended IND,Positive Feedback Count,Division Name,Department Name,Class Name,has_review_text,is_truncated,product_review_count,coverage_tier,age_band,rating_rec_conflict,stratum
1,7425,820,27,Worst peplum top in history,"This is the most unflattering peplum top i have ever tried on. fit perfectly as a size 6 should in the arms, shoulder, chest... then the waist was huge! just hung off of me like a flour sack. it was wider than the chest measurements, which made me appear frumpy instead of tailored and classic. combine that with the high-low hemline and it looked like a project runway reject. sent back immediately, do not buy this if you have (or want to appear to have) an hourglass figure, it will do nothing for",1,0,0,General Petite,Tops,Blouses,True,True,211,sufficient,18-29,False,NEGATIVE
2,21607,1086,28,"So close, but the cut is not good!","I have these shirts in the blue and green and they were great. i'm 5'4"" c chest and athletic build - the small shirts fit pretty good and i love the fabric so i kept them. i really wanted these dresses to work but the cut was different even between the gray and burgundy. there was tons of room in the chest, but it was tight in the shoulders. i really wanted to love this, but there's just too many cut issues. it is a good length for work though.",2,0,0,General,Dresses,Dresses,True,False,291,sufficient,18-29,False,NEGATIVE
3,17513,450,36,Soooo disappointed!,"I was hoping these would be like some of the lace shorts i bought from retailer last year that i loved so much. sadly, no. first of all they run small. i am between a s and xs in most brands, bought a s in these because i like my shorts on the looser side. these felt a little snug and short, but i decided to keep them. the first time i washed them, they were ruined. i followed the directions exactly and even put them in a lingerie bag in the washer, plus a delicate cycle, no dryer. the lace is man",1,0,11,General,Bottoms,Shorts,True,True,2,thin,30-39,False,NEGATIVE
4,11103,876,43,Rediculously small,"This top is beautiful online and in person. i am in no way a large full figured gal, but i did order an xl. reading the past review and wanting an airy fit i ordered a larger size. this shirt is horribly tiny in person! the xl regular fit looked like an xs. have no idea if this particular shirt sent to me was miss sized or what. will take back. other than fit, the shirt is very beautiful in every way.",1,0,6,General Petite,Tops,Knits,True,False,88,sufficient,40-49,False,NEGATIVE
5,11071,1092,27,Does not look good in person- strawberry shortcake,"This dress looks amazing on-line. in person the arm ruffles are much larger and stick out, and the dress at the bottom makes you look like strawberry shortcake. too much all over ruffling at the chest and is not flattering. pattern is dizzying in person. 

very thin multi layer dress. should be better material and quality for this price. save your money and shipping.",1,0,1,General Petite,Dresses,Dresses,True,False,220,sufficient,18-29,False,NEGATIVE
6,4732,381,30,Not for the busty babes!,"Loved the material and the style. unfortunately, my fears came true when i received this swimsuit, and there wasn't enough support despite a review i had read. as a 36d, i thought the halter would be enough support, however, the material is too stretchy to rely on that completely. i am sad i won't be keeping this though. the material is heavenly!!!",2,0,4,Initmates,Intimate,Swim,True,False,9,thin,30-39,False,NEGATIVE
7,4335,1094,24,,"Loved this dress when i tried it on in the store and thought it would be perfect for a casual wedding. unfortunately, the day of the wedding the zipper split and i had to wear something else. it fit well, but was poorly made. based off other reviews, this isn't the first time this has happened with this dress! not worth the risk at all.",1,0,1,General,Dresses,Dresses,True,False,756,sufficient,18-29,False,NEGATIVE
8,13357,870,47,"Boxy, short and unflattering","Ordered this top online, as i loved the colors and design, but i should have listened to the other reviewers. i ordered my usual size m, and it was just very unflattering. it was short and wide, not at all like it's pictured on the model. needless to say it was immediately shipped back.",2,0,0,General Petite,Tops,Knits,True,False,53,sufficient,40-49,False,NEGATIVE
9,15122,940,34,Wanted to love this,"I saw this sweater on-line and loved it until i tried it on. i'm 5-7, flat chested, 135 pounds and i ordered a size small. the sweater fit everywhere except for my arms. this sweater will work great if you are short. consider making your sweaters a little longer, because i do not consider myself tall.",1,0,1,General,Tops,Sweaters,True,False,130,sufficient,30-39,False,NEGATIVE
10,4297,1094,24,Great dress but not functional,"I loved this dress. it runs small (i'm normally a 2) so i had to get a 4. in the fitting room, the zippers got stuck a lot. i assumed it was just from the way the waist was sewn in. finally i found a dress that would zip pretty well. 

i went to put on this dress for my rehearsal dinner the night before my wedding. my fiance and i tried in vain for 20 minutes to try to zip it up... and then it broke. the part that was zipped became unzipped and the zipper had no where to go. it was awful. i co",1,0,3,General,Dresses,Dresses,True,True,756,sufficient,18-29,False,NEGATIVE
11,21915,1028,33,Not impressed,"I've worn citizens for almost 12 years now, i keep going back because i have an athletic figure (my thighs and butt are bigger than my waist), and usually citizens fit and hug all the right places and are made with a certain quality expectation - these did not meet any of those standards, the ripped as soon as i put them on. the material seemed cheap.",1,0,5,General,Bottoms,Jeans,True,False,83,sufficient,30-39,False,NEGATIVE
