Clothing ID,Department,Class,total_reviews,tier1_reviews,tier1_rate,undetermined,MATERIAL_QUALITY,MATERIAL_QUALITY_rate,FIT_CUT,FIT_CUT_rate,DESCRIPTION_MISMATCH,DESCRIPTION_MISMATCH_rate,SIZING_ACCURACY,SIZING_ACCURACY_rate,STYLE_EXPECTATION,STYLE_EXPECTATION_rate,PERSONAL_FIT,PERSONAL_FIT_rate,dominant_label,dominant_label_cnt,dominant_label_t1rate
839,Tops,Blouses,48,1,0.021,0,1,0.021,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,MATERIAL_QUALITY,1,1.0
826,Tops,Blouses,31,1,0.032,0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.032,0,0.0,STYLE_EXPECTATION,1,1.0
896,Tops,Fine gauge,23,1,0.043,0,0,0.0,1,0.043,0,0.0,0,0.0,0,0.0,0,0.0,FIT_CUT,1,1.0
869,Tops,Knits,50,2,0.04,0,0,0.0,0,0.0,0,0.0,0,0.0,2,0.04,0,0.0,STYLE_EXPECTATION,2,1.0
960,Jackets,Jackets,26,1,0.038,0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.038,0,0.0,STYLE_EXPECTATION,1,1.0
964,Jackets,Jackets,77,3,0.039,0,0,0.0,0,0.0,0,0.0,3,0.039,0,0.0,0,0.0,SIZING_ACCURACY,3,1.0
1125,Jackets,Outerwear,26,3,0.115,1,2,0.077,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,MATERIAL_QUALITY,2,0.667
952,Tops,Sweaters,39,3,0.077,1,0,0.0,0,0.0,0,0.0,0,0.0,2,0.051,0,0.0,STYLE_EXPECTATION,2,0.667
817,Tops,Blouses,21,5,0.238,0,0,0.0,0,0.0,3,0.143,0,0.0,2,0.095,0,0.0,DESCRIPTION_MISMATCH,3,0.6
1088,Dresses,Dresses,30,7,0.233,2,0,0.0,0,0.0,0,0.0,1,0.033,4,0.133,0,0.0,STYLE_EXPECTATION,4,0.571
824,Tops,Blouses,96,11,0.115,2,1,0.01,1,0.01,0,0.0,1,0.01,6,0.062,0,0.0,STYLE_EXPECTATION,6,0.545
871,Tops,Knits,54,6,0.111,3,3,0.056,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,MATERIAL_QUALITY,3,0.5
1150,Dresses,Dresses,22,2,0.091,0,0,0.0,0,0.0,0,0.0,1,0.045,1,0.045,0,0.0,STYLE_EXPECTATION,1,0.5
985,Jackets,Jackets,47,2,0.043,1,0,0.0,1,0.021,0,0.0,0,0.0,0,0.0,0,0.0,FIT_CUT,1,0.5
